Jahr,Kanton Aargau,Kanton Appenzell I.Rh.,Kanton Appenzell A.Rh.,Kanton Bern,Kanton Basel-Landschaft,Kanton Basel-Stadt,Kanton Freiburg,Kanton Genf,Kanton Glarus,Kanton GraubÃ¼nden,Kanton Jura,Kanton Luzern,Kanton Neuenburg,Kanton Nidwalden,Kanton Obwalden,Kanton St. Gallen,Kanton Schaffhausen,Kanton Solothurn,Kanton Schwyz,Kanton Thurgau,Kanton Tessin,Kanton Uri,Kanton Waadt,Kanton Wallis,Kanton Zug,Kanton ZÃ¼rich
1995,3237,68,154,4250,451,550,1548,2737,273,1182,538,1261,1624,118,129,2714,536,2463,849,1828,3711,105,7475,4611,249,3706
1996,3870,121,273,5360,502,804,1771,2905,355,1356,641,1851,1575,128,171,3462,686,3131,1149,2278,3382,190,7999,4583,440,5497
1997,4950,110,270,6419,632,1249,2248,3081,508,1775,703,2405,1747,179,214,4041,887,3298,1168,2782,3645,296,8327,4621,356,6632
1998,5511,117,321,7012,644,1578,2197,3168,537,1740,637,2660,1649,176,209,5058,882,3267,1044,3339,3157,278,7664,4356,366,6631
1999,5164,107,402,6800,668,1602,2218,2692,568,1705,686,2349,1314,169,235,5013,907,3037,918,3177,2419,275,5715,4122,190,5622
2000,5063,135,481,6702,687,1360,1862,1715,653,1451,668,2202,1507,114,157,4976,1109,3079,779,2989,2252,286,4380,3686,129,4186
2001,4417,119,513,6388,679,1466,1847,779,673,1400,636,1944,1191,123,132,4665,1134,2550,581,2777,2085,242,3204,2729,132,2803
2002,3378,104,489,5335,498,1383,1347,508,592,1405,590,1296,970,114,128,3981,671,2241,515,2506,1918,219,2398,2529,147,2360
2003,2844,86,513,5116,506,1420,1046,355,525,1227,583,1089,940,109,126,3605,527,1959,304,2072,1750,224,1761,2105,133,2114
2004,2985,113,478,4852,494,1502,1029,314,450,1171,574,1238,1017,113,140,3594,545,2052,281,1923,1209,198,1861,1868,186,3393
2005,3336,75,499,5252,662,1586,1122,408,411,1184,642,1552,1037,130,136,3463,497,2205,310,1935,1707,150,1791,2216,166,4330
2006,3834,74,521,5332,739,1471,1209,329,489,1147,660,1725,1068,149,167,3596,574,2312,345,2060,1733,125,2179,2572,188,5154
2007,3932,41,479,5671,897,1468,1305,414,420,1265,695,1668,1079,195,157,3424,576,2405,399,1937,1777,146,2106,2735,132,5131
2008,3943,66,413,5621,630,1294,1273,431,428,1161,698,1339,1044,205,161,3256,548,2175,453,1797,1510,150,1621,2788,133,3980
2009,3634,86,296,5483,683,969,1030,467,377,1205,625,1068,930,166,132,3141,388,2013,513,1652,1585,128,1503,2233,144,4310
2010,4185,73,325,6102,595,783,1138,496,382,1189,693,1188,1117,179,146,3381,411,2399,631,1558,1458,131,1627,2207,145,4174
2011,4335,50,534,6583,572,522,994,556,270,1428,670,1402,1061,199,165,3398,399,2603,487,1677,1680,139,1902,2260,143,4388
2012,4631,62,452,6626,589,500,1024,727,294,1538,691,1326,1060,318,135,3442,415,2491,556,1687,1828,136,2080,2564,253,3859
2013,4881,88,459,6980,492,361,883,801,342,1486,730,1269,738,484,130,3607,449,2373,529,1771,1819,121,2281,2992,189,4168
2014,4957,82,502,7761,427,245,1070,863,338,1935,832,1471,952,257,123,3950,457,2736,635,1874,1847,145,2606,3719,212,5359
2015,5975,63,549,8012,528,361,1345,921,461,2231,866,1731,1181,294,111,4394,548,3044,659,2055,2284,231,2626,4228,260,5518
2016,6687,282,562,9309,645,452,1763,1034,372,2567,778,1995,1071,296,128,4412,686,3478,699,2290,2795,264,3183,4428,196,6146
2017,7323,186,577,10262,809,546,1953,1167,378,2906,861,2178,1444,333,129,4651,845,3757,1110,2598,3764,372,3653,5625,250,6597
2018,8437,150,628,10317,1060,782,2229,1222,362,2740,974,2814,1927,414,150,5607,1036,4052,1120,3212,4826,277,4385,5987,257,7329
2019,8377,163,669,10641,1492,1124,2770,1260,391,2928,997,2991,2281,329,187,5618,1088,4674,1136,3575,5534,376,4512,5372,244,6654
2020,8733,174,482,10678,1617,1073,2927,1169,422,2448,984,3037,2266,392,200,6291,870,4490,1042,3395,6639,289,5699,6251,416,6848
2021,7009,215,605,9312,1404,1235,2853,1232,399,1536,1014,2513,2289,274,212,5426,691,4446,802,3070,7017,358,5704,6028,204,5517
2022,5696,139,549,8633,1353,1328,2851,911,405,1089,1192,1885,2159,172,106,4527,729,3798,588,2382,6262,179,4719,4988,196,4660
2023,4778,134,359,7817,1359,1229,2253,1041,294,1057,1292,2009,1824,188,96,3834,480,3445,413,2066,5489,138,4230,4583,254,4103
