Kanton Aargau,Kanton Appenzell I.Rh.,Kanton Appenzell A.Rh.,Kanton Bern,Kanton Basel-Landschaft,Kanton Basel-Stadt,Kanton Freiburg,Kanton Genf,Kanton Glarus,Kanton GraubÃ¼nden,Kanton Jura,Kanton Luzern,Kanton Neuenburg,Kanton Nidwalden,Kanton Obwalden,Kanton St. Gallen,Kanton Schaffhausen,Kanton Solothurn,Kanton Schwyz,Kanton Thurgau,Kanton Tessin,Kanton Uri,Kanton Waadt,Kanton Wallis,Kanton Zug,Kanton ZÃ¼rich
2.17,1.81,1.1,1.4,0.57,1.2,2.3,1.58,2.69,1.4,2.31,1.65,2.17,1.13,1.37,2.04,2.6,3.06,2.23,2.9,2.03,1.91,2.68,2.64,0.92,1.17
2.38,1.91,1.3,1.51,0.57,1.52,2.21,1.61,2.83,1.36,2.07,1.8,2.03,1.1,1.31,2.53,2.57,3,1.96,3.43,1.74,1.77,2.45,2.46,0.92,1.15
2.2,1.74,1.62,1.46,0.58,1.54,2.2,1.36,2.97,1.32,2.21,1.57,1.61,1.03,1.45,2.48,2.62,2.76,1.69,3.22,1.32,1.72,1.81,2.31,0.47,0.97
2.13,2.17,1.92,1.42,0.59,1.31,1.82,0.86,3.4,1.11,2.14,1.46,1.84,0.68,0.96,2.44,3.19,2.77,1.41,3,1.22,1.77,1.38,2.05,0.31,0.71
1.83,1.9,2.04,1.35,0.57,1.41,1.78,0.39,3.48,1.06,2.03,1.27,1.45,0.72,0.79,2.26,3.24,2.28,1.03,2.76,1.12,1.49,1,1.5,0.31,0.47
1.39,1.65,1.94,1.12,0.42,1.33,1.28,0.25,3.05,1.05,1.87,0.84,1.18,0.66,0.76,1.91,1.91,1.99,0.9,2.47,1.02,1.34,0.75,1.38,0.35,0.39
1.16,1.39,2.03,1.08,0.42,1.32,0.97,0.17,2.71,0.93,1.85,0.7,1.14,0.62,0.76,1.72,1.49,1.72,0.53,2,0.93,1.39,0.53,1.2,0.3,0.35
1.2,1.81,1.88,1.02,0.4,1.4,0.94,0.15,2.32,0.88,1.81,0.78,1.23,0.64,0.83,1.7,1.53,1.79,0.48,1.84,0.64,1.22,0.56,1.05,0.41,0.55
1.32,1.19,1.96,1.09,0.54,1.48,1,0.19,2.11,0.88,2.01,0.97,1.25,0.73,0.8,1.62,1.39,1.91,0.52,1.84,0.89,0.92,0.53,1.23,0.36,0.69
1.5,1.16,2.04,1.1,0.59,1.37,1.06,0.16,2.5,0.84,2.05,1.06,1.28,0.81,0.97,1.66,1.59,1.98,0.58,1.93,0.89,0.76,0.64,1.41,0.4,0.81
1.51,0.63,1.86,1.16,0.71,1.36,1.12,0.19,2.14,0.92,2.14,1.02,1.28,1.05,0.9,1.57,1.58,2.04,0.65,1.79,0.91,0.88,0.61,1.48,0.28,0.8
1.49,1.01,1.59,1.14,0.5,1.2,1.08,0.2,2.16,0.83,2.13,0.81,1.23,1.08,0.92,1.48,1.49,1.83,0.72,1.64,0.76,0.9,0.46,1.49,0.27,0.61
1.35,1.3,1.14,1.1,0.53,0.9,0.85,0.22,1.89,0.85,1.89,0.63,1.09,0.87,0.74,1.41,1.04,1.68,0.8,1.49,0.79,0.75,0.43,1.17,0.29,0.66
1.51,1.08,1.22,1.18,0.46,0.73,0.9,0.23,1.82,0.77,1.97,0.69,1.26,0.91,0.77,1.47,1.09,1.95,0.92,1.37,0.68,0.74,0.45,1.02,0.29,0.63
1.54,0.72,1.99,1.26,0.44,0.48,0.77,0.25,1.27,0.91,1.88,0.8,1.19,1,0.85,1.46,1.04,2.09,0.7,1.45,0.77,0.79,0.52,1.02,0.27,0.65
1.61,0.86,1.67,1.25,0.44,0.46,0.77,0.33,1.38,0.98,1.92,0.74,1.18,1.57,0.69,1.46,1.07,1.98,0.79,1.43,0.83,0.76,0.56,1.13,0.48,0.56
1.68,1.21,1.68,1.31,0.37,0.33,0.66,0.36,1.6,0.93,2.01,0.7,0.82,2.37,0.65,1.51,1.15,1.87,0.74,1.47,0.82,0.67,0.61,1.3,0.35,0.6
1.67,1.12,1.81,1.44,0.32,0.23,0.78,0.39,1.57,1.19,2.25,0.8,1.04,1.24,0.61,1.63,1.15,2.13,0.87,1.53,0.83,0.8,0.68,1.58,0.39,0.76
1.98,0.83,1.96,1.47,0.39,0.34,0.96,0.41,2.12,1.36,2.35,0.93,1.28,1.4,0.54,1.79,1.36,2.33,0.89,1.64,1.01,1.25,0.68,1.76,0.46,0.78
2.18,3.63,1.99,1.69,0.47,0.42,1.24,0.45,1.69,1.53,2.09,1.05,1.15,1.39,0.61,1.77,1.68,2.62,0.93,1.8,1.21,1.39,0.81,1.81,0.34,0.85
2.34,2.36,2.02,1.84,0.58,0.5,1.34,0.51,1.68,1.71,2.28,1.13,1.53,1.55,0.61,1.84,2.04,2.79,1.45,2,1.59,1.92,0.91,2.25,0.43,0.9
2.65,1.89,2.18,1.83,0.76,0.71,1.51,0.53,1.6,1.59,2.56,1.44,2.04,1.9,0.7,2.2,2.47,2.98,1.44,2.42,2.02,1.41,1.08,2.37,0.44,0.99
2.59,2.02,2.3,1.87,1.06,1.02,1.83,0.54,1.71,1.68,2.59,1.51,2.39,1.5,0.87,2.18,2.56,3.4,1.44,2.65,2.29,1.88,1.1,2.09,0.42,0.89
2.65,2.15,1.64,1.86,1.14,0.96,1.89,0.49,1.83,1.4,2.52,1.5,2.35,1.78,0.92,2.41,2.03,3.22,1.3,2.48,2.71,1.43,1.37,2.4,0.7,0.91
2.1,2.59,2.05,1.61,0.97,1.1,1.8,0.51,1.72,0.87,2.56,1.23,2.36,1.23,0.96,2.05,1.59,3.15,0.99,2.21,2.83,1.74,1.35,2.29,0.34,0.72
1.69,1.67,1.84,1.48,0.93,1.17,1.77,0.38,1.73,0.61,2.96,0.91,2.2,0.76,0.48,1.69,1.65,2.66,0.72,1.7,2.49,0.85,1.1,1.87,0.33,0.6
1.4,1.59,1.2,1.33,0.92,1.07,1.38,0.42,1.25,0.58,3.17,0.96,1.85,0.82,0.43,1.42,1.07,2.39,0.5,1.45,2.17,0.64,0.98,1.69,0.42,0.53
