Kanton,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Kanton Aargau,...,...,2.17,2.38,2.20,2.13,1.83,1.39,1.16,1.20,1.32,1.50,1.51,1.49,1.35,1.51,1.54,1.61,1.68,1.67,1.98,2.18,2.34,2.65,2.59,2.65,2.10,1.69,1.40
Kanton Appenzell I.Rh.,...,...,1.81,1.91,1.74,2.17,1.90,1.65,1.39,1.81,1.19,1.16,0.63,1.01,1.30,1.08,0.72,0.86,1.21,1.12,0.83,3.63,2.36,1.89,2.02,2.15,2.59,1.67,1.59
Kanton Appenzell A.Rh.,...,...,1.10,1.30,1.62,1.92,2.04,1.94,2.03,1.88,1.96,2.04,1.86,1.59,1.14,1.22,1.99,1.67,1.68,1.81,1.96,1.99,2.02,2.18,2.30,1.64,2.05,1.84,1.20
Kanton Bern,...,...,1.40,1.51,1.46,1.42,1.35,1.12,1.08,1.02,1.09,1.10,1.16,1.14,1.10,1.18,1.26,1.25,1.31,1.44,1.47,1.69,1.84,1.83,1.87,1.86,1.61,1.48,1.33
Kanton Basel-Landschaft,...,...,0.57,0.57,0.58,0.59,0.57,0.42,0.42,0.40,0.54,0.59,0.71,0.50,0.53,0.46,0.44,0.44,0.37,0.32,0.39,0.47,0.58,0.76,1.06,1.14,0.97,0.93,0.92
Kanton Basel-Stadt,...,...,1.20,1.52,1.54,1.31,1.41,1.33,1.32,1.40,1.48,1.37,1.36,1.20,0.90,0.73,0.48,0.46,0.33,0.23,0.34,0.42,0.50,0.71,1.02,0.96,1.10,1.17,1.07
Kanton Freiburg,...,...,2.30,2.21,2.20,1.82,1.78,1.28,0.97,0.94,1.00,1.06,1.12,1.08,0.85,0.90,0.77,0.77,0.66,0.78,0.96,1.24,1.34,1.51,1.83,1.89,1.80,1.77,1.38
Kanton Genf,...,...,1.58,1.61,1.36,0.86,0.39,0.25,0.17,0.15,0.19,0.16,0.19,0.20,0.22,0.23,0.25,0.33,0.36,0.39,0.41,0.45,0.51,0.53,0.54,0.49,0.51,0.38,0.42
Kanton Glarus,...,...,2.69,2.83,2.97,3.40,3.48,3.05,2.71,2.32,2.11,2.50,2.14,2.16,1.89,1.82,1.27,1.38,1.60,1.57,2.12,1.69,1.68,1.60,1.71,1.83,1.72,1.73,1.25
Kanton Graubünden,...,...,1.40,1.36,1.32,1.11,1.06,1.05,0.93,0.88,0.88,0.84,0.92,0.83,0.85,0.77,0.91,0.98,0.93,1.19,1.36,1.53,1.71,1.59,1.68,1.40,0.87,0.61,0.58
Kanton Jura,...,...,2.31,2.07,2.21,2.14,2.03,1.87,1.85,1.81,2.01,2.05,2.14,2.13,1.89,1.97,1.88,1.92,2.01,2.25,2.35,2.09,2.28,2.56,2.59,2.52,2.56,2.96,3.17
Kanton Luzern,...,...,1.65,1.80,1.57,1.46,1.27,0.84,0.70,0.78,0.97,1.06,1.02,0.81,0.63,0.69,0.80,0.74,0.70,0.80,0.93,1.05,1.13,1.44,1.51,1.50,1.23,0.91,0.96
Kanton Neuenburg,...,...,2.17,2.03,1.61,1.84,1.45,1.18,1.14,1.23,1.25,1.28,1.28,1.23,1.09,1.26,1.19,1.18,0.82,1.04,1.28,1.15,1.53,2.04,2.39,2.35,2.36,2.20,1.85
Kanton Nidwalden,...,...,1.13,1.10,1.03,0.68,0.72,0.66,0.62,0.64,0.73,0.81,1.05,1.08,0.87,0.91,1.00,1.57,2.37,1.24,1.40,1.39,1.55,1.90,1.50,1.78,1.23,0.76,0.82
Kanton Obwalden,...,...,1.37,1.31,1.45,0.96,0.79,0.76,0.76,0.83,0.80,0.97,0.90,0.92,0.74,0.77,0.85,0.69,0.65,0.61,0.54,0.61,0.61,0.70,0.87,0.92,0.96,0.48,0.43
Kanton St. Gallen,...,...,2.04,2.53,2.48,2.44,2.26,1.91,1.72,1.70,1.62,1.66,1.57,1.48,1.41,1.47,1.46,1.46,1.51,1.63,1.79,1.77,1.84,2.20,2.18,2.41,2.05,1.69,1.42
Kanton Schaffhausen,...,...,2.60,2.57,2.62,3.19,3.24,1.91,1.49,1.53,1.39,1.59,1.58,1.49,1.04,1.09,1.04,1.07,1.15,1.15,1.36,1.68,2.04,2.47,2.56,2.03,1.59,1.65,1.07
Kanton Solothurn,...,...,3.06,3.00,2.76,2.77,2.28,1.99,1.72,1.79,1.91,1.98,2.04,1.83,1.68,1.95,2.09,1.98,1.87,2.13,2.33,2.62,2.79,2.98,3.40,3.22,3.15,2.66,2.39
Kanton Schwyz,...,...,2.23,1.96,1.69,1.41,1.03,0.90,0.53,0.48,0.52,0.58,0.65,0.72,0.80,0.92,0.70,0.79,0.74,0.87,0.89,0.93,1.45,1.44,1.44,1.30,0.99,0.72,0.50
Kanton Thurgau,...,...,2.90,3.43,3.22,3.00,2.76,2.47,2.00,1.84,1.84,1.93,1.79,1.64,1.49,1.37,1.45,1.43,1.47,1.53,1.64,1.80,2.00,2.42,2.65,2.48,2.21,1.70,1.45
Kanton Tessin,...,...,2.03,1.74,1.32,1.22,1.12,1.02,0.93,0.64,0.89,0.89,0.91,0.76,0.79,0.68,0.77,0.83,0.82,0.83,1.01,1.21,1.59,2.02,2.29,2.71,2.83,2.49,2.17
Kanton Uri,...,...,1.91,1.77,1.72,1.77,1.49,1.34,1.39,1.22,0.92,0.76,0.88,0.90,0.75,0.74,0.79,0.76,0.67,0.80,1.25,1.39,1.92,1.41,1.88,1.43,1.74,0.85,0.64
Kanton Waadt,...,...,2.68,2.45,1.81,1.38,1.00,0.75,0.53,0.56,0.53,0.64,0.61,0.46,0.43,0.45,0.52,0.56,0.61,0.68,0.68,0.81,0.91,1.08,1.10,1.37,1.35,1.10,0.98
Kanton Wallis,...,...,2.64,2.46,2.31,2.05,1.50,1.38,1.20,1.05,1.23,1.41,1.48,1.49,1.17,1.02,1.02,1.13,1.30,1.58,1.76,1.81,2.25,2.37,2.09,2.40,2.29,1.87,1.69
Kanton Zug,...,...,0.92,0.92,0.47,0.31,0.31,0.35,0.30,0.41,0.36,0.40,0.28,0.27,0.29,0.29,0.27,0.48,0.35,0.39,0.46,0.34,0.43,0.44,0.42,0.70,0.34,0.33,0.42
Kanton Zürich,...,...,1.17,1.15,0.97,0.71,0.47,0.39,0.35,0.55,0.69,0.81,0.80,0.61,0.66,0.63,0.65,0.56,0.60,0.76,0.78,0.85,0.90,0.99,0.89,0.91,0.72,0.60,0.53
