KantonNr;KantonKürzel;Kanton;Total;Alter-0–19;Alter-20–64;Alter-65-und-mehr;Mann;Frau;Schweizer;Ausländer;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;EingetragenePartnerschaft;AufgelöstePartnerschaft;StädtischerKernraum;EinflussgebietstädtischerKerne;GebieteausserhalbEinflussgebietstädtischerKerne;Preis pro m2
1;ZH;Zürich;1’466’424;287’660;931’178;247’586;728’517;737’907;1’083’372;383’052;666’873;606’119;63’094;125’457;82;4’277;473;1’129’596;326’788;10’040;18.3
2;BE;Bern;1’017’483;194’111;618’383;204’989;498’258;519’225;860’017;157’466;437’186;437’850;56’477;84’190;55;1’522;177;531’765;225’656;260’062;16.4
3;LU;Luzern;398’762;82’391;248’701;67’670;198’192;200’570;327’503;71’259;181’455;171’654;18’613;26’480;28;490;34;210’096;44’133;144’533;15.2
4;UR;Uri;35’973;7’385;21’576;7’012;18’348;17’625;31’840;4’133;15’323;16’844;2’027;1’742;7;27;3;21’833;9’901;4’239;12.7
5;SZ;Schwyz;154’093;30’831;97’333;25’929;78’825;75’268;122’921;31’172;66’828;68’527;6’917;11’630;7;174;8;93’739;32’480;27’874;16.6
6;OW;Obwalden;37’076;7’655;22’935;6’486;18’801;18’275;31’716;5’360;16’432;16’538;1’771;2’309;1;24;1;10’229;0;26’847;13
7;NW;Nidwalden;42’420;7’903;26’463;8’054;21’705;20’715;36’514;5’906;18’392;18’874;1’946;3’171;4;31;1;15’773;5’645;21’002;15.3
8;GL;Glarus;40’028;7’762;24’638;7’628;20’309;19’719;30’721;9’307;16’607;17’981;2’337;3’061;3;34;5;30’367;0;9’661;11.8
9;ZG;Zug;122’134;24’710;77’432;19’992;61’708;60’426;89’157;32’977;53’320;54’702;4’771;9’124;12;186;18;111’957;10’177;0;19.5
10;FR;Freiburg;307’461;70’214;191’105;46’142;153’729;153’732;240’182;67’279;138’940;131’243;13’395;23’452;33;349;40;100’331;126’895;80’235;14.2
11;SO;Solothurn;266’418;51’266;164’739;50’413;132’439;133’979;209’355;57’063;110’681;118’113;14’493;22’736;15;346;31;160’616;68’851;36’951;13.4
12;BS;Basel-Stadt;191’817;32’205;120’778;38’834;92’514;99’303;124’365;67’452;89’611;71’876;11’013;18’618;22;605;66;191’817;0;0;16.4
13;BL;Basel-Landschaft;283’231;54’436;168’679;60’116;138’808;144’423;221’489;61’742;113’105;131’033;15’535;22’967;7;547;31;192’488;83’710;7’033;16.3
14;SH;Schaffhausen;79’836;15’032;48’401;16’403;39’391;40’445;59’664;20’172;32’404;35’863;4’637;6’810;2;109;10;46’264;25’529;8’043;13.1
15;AR;Appenzell A. Rh.;54’543;11’103;33’196;10’244;27’506;27’037;45’985;8’558;23’055;24’037;2’874;4’493;2;80;2;15’721;26’110;12’712;13
16;AI;Appenzell I. Rh.;15’974;3’536;9’514;2’924;8’196;7’778;14’240;1’734;7’338;6’962;851;811;1;9;2;0;0;15’974;12.9
17;SG;St. Gallen;499’065;103’693;308’228;87’144;249’392;249’673;381’712;117’353;215’628;219’430;24’353;39’106;18;482;34;347’036;64’874;87’155;14
18;GR;Graubünden;196’610;36’141;121’035;39’434;98’212;98’398;160’689;35’921;83’298;87’457;10’723;14’935;14;166;13;64’034;23’551;109’025;15.2
19;AG;Aargau;653’675;133’140;410’237;110’298;327’787;325’888;495’277;158’398;276’123;296’112;29’863;50’636;33;828;75;356’655;199’598;97’422;15
20;TG;Thurgau;267’429;55’091;167’645;44’693;134’455;132’974;202’663;64’766;113’225;119’222;12’421;22’211;12;308;27;124’367;55’336;87’726;13.3
21;TI;Tessin;351’946;64’923;210’292;76’731;171’466;180’480;254’288;97’658;146’039;155’145;21’417;28’923;38;344;38;245’345;78’562;28’039;13.3
22;VD;Waadt;773’407;170’633;476’817;125’957;379’074;394’333;513’739;259’668;353’300;318’102;34’604;65’634;51;1’533;159;479’658;213’338;80’411;16.3
23;VS;Wallis;335’696;67’347;205’413;62’936;166’426;169’270;258’612;77’084;142’216;148’810;18’126;26’148;33;312;35;173’187;79’551;82’958;13.3
24;NE;Neuenburg;178’107;38’117;107’066;32’924;87’021;91’086;132’556;45’551;77’637;72’597;9’888;17’781;13;169;20;104’592;55’172;18’343;11.5
25;GE;Genf;484’736;102’431;302’313;79’992;234’427;250’309;287’521;197’215;224’586;192’263;20’467;45’916;62;1’294;137;441’772;42’964;0;18.1
26;JU;Jura;72’782;15’787;42’474;14’521;35’965;36’817;62’361;10’421;31’049;31’348;4’538;5’773;8;60;6;24’922;13’762;34’098;10.6
