KantonNr;KantonKürzel;Kanton;Total;Alter-0–19;Alter-20–64;Alter-65-und-mehr;Mann;Frau;Schweizer;Ausländer;Ledig;Verheiratet;Verwitwet;Geschieden;Unverheiratet;EingetragenePartnerschaft;AufgelöstePartnerschaft;StädtischerKernraum;EinflussgebietstädtischerKerne;GebieteausserhalbEinflussgebietstädtischerKerne;Preis pro m2
1;ZH;Zürich;1’579’967;312’392;994’624;272’951;788’846;791’121;1’141’651;438’316;756’713;619’417;61’890;136’723;83;3’970;1’124;1’221’626;347’932;10’409;20
2;BE;Bern;1’051’437;200’509;620’777;230’151;516’805;534’632;872’661;178’776;469’022;431’354;54’214;94’967;57;1’389;416;551’861;234’361;265’215;18.2
3;LU;Luzern;424’851;85’932;260’162;78’757;212’021;212’830;340’582;84’269;196’755;176’873;18’845;31’692;27;520;127;223’366;48’728;152’757;16.3
4;UR;Uri;37’317;7’362;21’811;8’144;19’007;18’310;32’224;5’093;16’026;17’082;1’973;2’200;6;25;5;22’995;9’998;4’324;14.3
5;SZ;Schwyz;164’920;31’575;101’903;31’442;84’722;80’198;127’120;37’800;72’025;71’493;7’227;13’926;4;197;44;100’253;35’258;29’409;17.4
6;OW;Obwalden;38’700;7’638;23’137;7’925;19’574;19’126;32’652;6’048;17’104;16’975;1’823;2’767;1;25;4;10’654;0;28’046;14.5
7;NW;Nidwalden;44’420;7’906;26’689;9’825;22’783;21’637;37’150;7’270;19’240;19’214;2’064;3’839;2;44;4;16’062;6’022;22’336;16.5
8;GL;Glarus;41’471;7’968;24’758;8’745;20’975;20’496;30’918;10’553;17’630;17’889;2’258;3’638;2;44;9;31’943;0;9’528;14
9;ZG;Zug;131’164;26’480;81’164;23’520;66’574;64’590;92’130;39’034;57’960;57’404;5’085;10’430;12;232;38;120’275;10’889;0;20
10;FR;Freiburg;334’465;73’118;205’729;55’618;167’569;166’896;255’175;79’290;157’683;133’499;13’755;28’986;28;405;99;108’282;140’065;86’118;15.2
11;SO;Solothurn;282’408;54’189;169’758;58’461;141’168;141’240;214’403;68’005;120’412;121’474;14’045;25’990;13;367;83;169’914;72’522;39’972;14
12;BS;Basel-Stadt;196’786;34’516;123’376;38’894;95’937;100’849;123’465;73’321;98’160;69’212;9’522;19’145;21;598;121;196’786;0;0;18.2
13;BL;Basel-Landschaft;294’417;56’709;170’422;67’286;144’441;149’976;223’876;70’541;121’799;130’051;15’814;26’126;13;504;104;199’822;87’691;6’904;17.4
14;SH;Schaffhausen;85’214;16’063;50’430;18’721;42’318;42’896;62’066;23’148;35’698;36’956;4’518;7’887;3;121;27;48’606;27’907;8’701;13.9
15;AR;Appenzell A. Rh.;55’759;11’365;32’747;11’647;28’114;27’645;46’395;9’364;24’016;23’935;2’744;4’983;1;66;14;15’744;26’922;13’093;13.8
16;AI;Appenzell I. Rh.;16’416;3’392;9’674;3’350;8’408;8’008;14’510;1’906;7’420;7’045;855;1’083;1;9;3;0;0;16’416;15.9
17;SG;St. Gallen;525’967;107’360;318’282;100’325;264’521;261’446;392’009;133’958;231’778;224’539;24’426;44’592;20;470;111;364’320;68’936;92’711;15.1
18;GR;Graubünden;202’538;35’349;121’064;46’125;101’760;100’778;162’686;39’852;87’011;86’944;10’737;17’628;15;157;42;66’483;24’663;111’392;15.8
19;AG;Aargau;711’232;144’909;433’224;133’099;357’753;353’479;524’909;186’323;308’288;310’713;31’059;60’103;32;803;212;388’542;222’279;100’411;15.9
20;TG;Thurgau;289’650;58’864;175’890;54’896;146’046;143’604;213’633;76’017;124’170;126’446;12’894;25’730;12;321;74;133’452;60’676;95’522;14.6
21;TI;Tessin;354’023;62’193;208’340;83’490;172’337;181’686;254’597;99’426;153’195;146’184;21’357;32’761;43;389;92;251’844;76’920;25’259;14.2
22;VD;Waadt;830’431;180’828;510’764;138’839;408’209;422’222;554’772;275’659;405’980;313’352;33’611;75’333;83;1’646;405;511’867;232’420;86’144;18.1
23;VS;Wallis;357’282;68’941;215’062;73’279;177’835;179’447;272’671;84’611;157’310;148’115;18’653;32’679;38;373;100;196’906;85’174;75’202;14.5
24;NE;Neuenburg;176’571;36’157;105’474;34’940;86’657;89’914;131’328;45’243;82’116;65’602;9’140;19’433;13;205;61;103’225;51’728;21’618;13
25;GE;Genf;514’114;108’417;320’827;84’870;249’007;265’107;303’157;210’957;253’662;188’043;19’930;50’674;107;1’341;344;467’954;46’160;0;20.3
26;JU;Jura;73’865;15’081;42’461;16’323;36’566;37’299;62’622;11’243;32’878;29’484;4’359;7’042;10;72;19;24’797;14’926;34’142;12.2
